Name,Phone,Url
LOYA HUJRA,"2XCG+F8F, Mahala Khato Khel Mohabbat Khel, Nowshera, Khyber Pakhtunkhwa","
0313 9280857",,(1)
Slice & Spice,"Akhtar fish market, Main Grand Trunk Rd, near police line, Khat Kalay, Nowshera, Khyber Pakhtunkhwa 24110","
0315 5270222",,(4)
Spark Hotel,,"
0344 9181789",,(64)
Akbar Fish اکبر فش,"Old Kishti Pull Road, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0313 5775450",,(3)
Shafique Cafe,"2X3Q+C97, Cavalary Rd, Saddar Nowshera, Khyber Pakhtunkhwa","
0310 5605080",,(12)
Korba Resturant,"WR74+4VM, Nowshera, Khyber Pakhtunkhwa",,,(98)
"Hot Bites Cafe - Fast food ,shesha, coffee cafe (HBC)","Phase#1 Market, armour colony, Manki Sharif Rd, Nowshera, Khyber Pakhtunkhwa 24110","
0333 9888348",,(2)
کراچی نصیب بریانی,"X2V5+V5X A.S.C, Colony Rd, Nowshera, 24100","
0313 8664372",,(4)
ShahG hotel and Restaurant,"Ali, GT road, Main road, abad, Nowshera, 24040","
0313 9777299",,(5)
Melma dost restaurant,"W2VR+9J8, Kaka Sahib Road،, Ziarat Kaka Sahib, Nowshera, Khyber Pakhtunkhwa","
0333 9225729",,(38)
Pirsabaq Tikka,"22GV+W54, Pīr Sabaq, Nowshera, Khyber Pakhtunkhwa","
0316 1836150",,(7)
Manki sharif number 1 kachalan,"WXW9+6J7, Nowshera, Khyber Pakhtunkhwa","
0301 3012902",,(5)
Lite Bite fast food and restaurant,"2X8R+HGQ, Nowshera Mardan Rd, Shah Mir Garhi, Nowshera, Khyber Pakhtunkhwa","
0334 9452639",,(1)
Al Hajj gul Sanam Fish Corner,"2X6H+9P8, Mardale road, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0347 2131878",,(2)
Marhaba Restaurant,"2Q6H+P2C, Grand Trunk Rd, Pabbi, Nowshera, Khyber Pakhtunkhwa","
(0923) 529124",,(131)
NUST Cafeteria,"3X3V+G36, Risalpur, Nowshera, Khyber Pakhtunkhwa","
0313 9697952",,(3)
Didar Khan Shop,"2X2V+877, By Pass Rd, Nowshera Cantonment, Nowshera, Khyber Pakhtunkhwa",,,(2)
Paakeeza Darbaar Restaurant Wali Interchange,"3486+QJG, Nowshera, Khyber Pakhtunkhwa",,,(4)
